"X.1","X","Y","EOBS_available","DevSuccess_available","Precipitation_available"
2,19.7833214094862,41.7203097404086,TRUE,TRUE,TRUE
3,13.2954865752254,42.0176646924958,TRUE,TRUE,TRUE
5,21.7214980709832,39.587088792246,TRUE,TRUE,TRUE
7,22.964061909588,51.3602028324472,TRUE,TRUE,TRUE
8,16.4419703010935,57.6096629013395,TRUE,TRUE,TRUE
9,25.5506879277527,43.4222073867643,TRUE,TRUE,TRUE
11,29.2856025951914,45.7987908179825,TRUE,TRUE,TRUE
12,27.1599647332914,42.838926175846,TRUE,TRUE,TRUE
13,32.5453713932075,50.7212484624579,TRUE,TRUE,TRUE
14,11.1121060268488,51.0251159647258,TRUE,TRUE,TRUE
15,-5.73111256817356,38.4322824021639,TRUE,TRUE,TRUE
16,2.6258483948186,46.2585077621214,TRUE,TRUE,TRUE
19,32.9717257420998,50.3755286602623,TRUE,TRUE,TRUE
20,44.2946420970839,43.9377110281244,TRUE,TRUE,TRUE
21,25.7574778841808,49.2558258104589,TRUE,TRUE,TRUE
22,30.9031828318257,50.6698092892932,TRUE,TRUE,TRUE
23,26.9293999567162,47.3940872512359,TRUE,TRUE,TRUE
27,7.4406539381016,44.1746359510783,TRUE,TRUE,TRUE
28,35.7194752141368,48.6703555077312,TRUE,TRUE,TRUE
29,2.05599765176884,50.4509105644944,TRUE,TRUE,TRUE
32,-5.95574394217693,43.2309996459612,TRUE,TRUE,TRUE
33,-0.0946648104582017,38.7417892592349,TRUE,TRUE,TRUE
34,37.505532753421,50.6454197109169,TRUE,TRUE,TRUE
35,10.6342274881899,44.4436248144651,TRUE,TRUE,TRUE
36,29.6717078052461,45.3523438133223,TRUE,TRUE,TRUE
38,8.76408603508025,53.0240022894463,TRUE,TRUE,TRUE
39,16.4480685128365,38.5886313624265,TRUE,TRUE,TRUE
40,-0.60215946636163,53.7949066431256,TRUE,TRUE,TRUE
41,21.0542068944778,51.9525242690875,TRUE,TRUE,TRUE
43,17.8951617889106,45.2884276454467,TRUE,TRUE,TRUE
45,22.4181910522748,52.7494725302206,TRUE,TRUE,TRUE
47,-9.78395051322878,54.2265130761054,TRUE,TRUE,TRUE
48,0.302062161499631,53.186933668535,TRUE,TRUE,TRUE
49,19.3719426903408,44.4779674341821,TRUE,TRUE,TRUE
51,39.8584366659634,51.5946183438247,TRUE,TRUE,TRUE
52,39.7987472335808,50.8406492211671,TRUE,TRUE,TRUE
53,20.3534807648975,48.0572822255324,TRUE,TRUE,TRUE
57,31.2813200557139,47.3700541198489,TRUE,TRUE,TRUE
60,5.48566095996648,50.9283052435538,TRUE,TRUE,TRUE
61,16.0140075569507,40.7841317261616,TRUE,TRUE,TRUE
66,28.9758476021234,49.1935004342779,TRUE,TRUE,TRUE
68,40.2686103107408,45.1779744197106,TRUE,TRUE,TRUE
70,10.238796651829,53.5899559295368,TRUE,TRUE,TRUE
72,3.52963894605636,45.7794308413245,TRUE,TRUE,TRUE
73,34.8053996928502,46.5100990095242,TRUE,TRUE,TRUE
74,26.3469891657587,41.566960131723,TRUE,TRUE,TRUE
75,26.9677063752897,44.8089642966405,TRUE,TRUE,TRUE
76,-2.83802922349424,47.8315360626568,TRUE,TRUE,TRUE
78,23.6411095771473,51.5134851466254,TRUE,TRUE,TRUE
79,24.2077540175524,45.9716980722694,TRUE,TRUE,TRUE
81,1.16913911653682,47.4998937506468,TRUE,TRUE,TRUE
84,17.4132962455042,44.1994920355685,TRUE,TRUE,TRUE
85,22.8751006128732,51.0343622280851,TRUE,TRUE,TRUE
86,-4.97313795262017,58.3679975358094,TRUE,TRUE,TRUE
87,7.92797999223694,49.7086237968717,TRUE,TRUE,TRUE
90,33.6407011654228,46.8921327148542,TRUE,TRUE,TRUE
93,32.1291315753479,48.8593917229997,TRUE,TRUE,TRUE
94,34.5781470055226,46.7458181863288,TRUE,TRUE,TRUE
96,-1.95056623662822,41.9237771757271,TRUE,TRUE,TRUE
